"hugo_symbol","log2FoldChange"
"ANK1",1.8623244692855
"ANK2",0.588332832089224
"ANK3",0.872717282657753
"ANKAR",-0.475388238650887
"ANKDD1A",-0.513499029445467
"ANKDD1B",-2.2052806411658
"ANKEF1",-1.55307938632415
"ANKFY1",-0.517711943885204
"ANKH",-2.6441350904186
"ANKHD1",0.192366063491361
"ANKHD1-DT",-0.457138858099127
"ANKHD1-EIF4EBP3",0.384788472580073
"ANKIB1",0.982682065859694
"ANKLE1",0.616591149884807
"ANKLE2",1.68623746604724
"ANKMY1",-1.20383510541425
"ANKMY2",-0.248022488969627
"ANKRA2",0.141627700153727
"ANKRD1",9.16355202737192
"ANKRD10",1.61072336950859
"ANKRD10-IT1",2.05209882658968
"ANKRD11",0.987979042957741
"ANKRD12",0.0788610685656435
"ANKRD13A",0.541556568657249
"ANKRD13B",-2.33904319744287
"ANKRD13C",0.476012872409411
"ANKRD13C-DT",-0.245326938395008
"ANKRD13D",-1.00820276549225
"ANKRD16",0.416087739478527
"ANKRD17",-0.048801749817977
"ANKRD17-DT",0.135884358055345
"ANKRD18A",-1.93284337211933
"ANKRD19P",-0.807680872566042
"ANKRD20A1",-1.97200458313551
"ANKRD20A4P",-1.25490852019519
"ANKRD20A5P",3.04117540542824
"ANKRD22",4.85957492658788
"ANKRD23",-0.869270102165111
"ANKRD24",-1.98202584763755
"ANKRD26",-0.325081214767786
"ANKRD27",0.759395581014255
"ANKRD28",2.78301302570274
"ANKRD29",2.83218666390322
"ANKRD33B",6.2831350590227
"ANKRD34A",-1.18755560740272
"ANKRD34B",0.332549105359536
"ANKRD36",0.594838054629609
"ANKRD36B",-0.304981301425151
"ANKRD36BP2",0.511094289850762
"ANKRD36C",0.966063715183939
"ANKRD37",-0.0931402606732496
"ANKRD39",-0.456185687569357
"ANKRD40",0.129339269197704
"ANKRD40CL",-0.154415764931442
"ANKRD42",-0.256484773301209
"ANKRD42-DT",0.422423924233231
"ANKRD44",0.52568648266601
"ANKRD44-IT1",0.00559271029088849
"ANKRD45",0.238088063988309
"ANKRD46",1.18651123493241
"ANKRD49",0.559710664056414
"ANKRD49P2",0.0768188217478586
"ANKRD50",1.58202867776814
"ANKRD52",0.841343409263276
"ANKRD54",-0.666508415704826
"ANKRD55",2.43729419552044
"ANKRD6",-0.484168902922781
"ANKRD60",1.14159612929735
"ANKRD61",1.10819480687964
"ANKRD62",-0.616146357147064
"ANKRD63",-5.14567953916406
"ANKRD65",-0.650613831954205
"ANKRD66",-0.307156559462029
