"hugo_symbol","log2FoldChange","padj"
"AKAP17A",0.0953050945467275,0.632601605143571
"AKAP3",0.321054595314737,0.674257060489952
"AKAP5",-2.39212008619838,1.4560655216376e-09
"AKAP6",2.86063247940852,0.000421122514964817
"AKAP7",1.21683084535817,1.02398052908052e-09
"AKAP8",0.5782288719828,0.000932730816008587
"AKAP8L",-0.164740531330645,0.54211083573563
"AKAP9",-0.389164172013818,0.0531615588941025
"AKIP1",0.0295066730746738,0.947156776715188
"AKIRIN1",1.47982624293513,7.36512983695021e-16
"AKIRIN2",-0.445017605014266,0.107571451872732
"AKNA",0.333969390904996,0.13826357504439
"AKR1A1",-1.21213705422754,5.48551814200931e-05
"AKR1B1",-0.790739674341715,0.117494350722675
"AKR1B15",0.263925950905425,0.571927142743216
"AKR1C1",2.90059144492757,6.82154087798661e-08
"AKR1C2",0.439701177754914,0.195678931039396
"AKR1C3",0.69509833655918,0.0253393971153235
"AKR1E2",0.992993105771551,2.46360049593306e-07
"AKR7A2",-1.17346290938089,6.56464322987805e-10
"AKR7A3",-1.51576887551203,0.00138677949142713
"AKR7L",-1.05729581922668,0.14601849964021
"AKT1",-0.34394523112442,0.063439579767568
"AKT1S1",1.82477536242376,3.23912574824734e-24
"AKT2",0.0822724845767775,0.703865055460937
"AKT3",2.70065318027568,3.49066937611183e-22
"AKTIP",-0.322488804884353,0.193781262948677
"ALAD",-1.21965462411945,9.10118168480579e-09
"ALAS1",1.15044538590992,1.7128550296115e-06
"ALAS2",1.35348565958785,0.0594074031874787
"ALCAM",1.95921178491203,9.54854435539329e-06
"ALDH16A1",-1.50379880688145,4.95040147107593e-06
"ALDH18A1",-0.134942197272312,0.75672924070278
"ALDH1A1",-0.509100328111855,0.279105232247733
"ALDH1A2",2.81914073806812,8.90854706300791e-08
"ALDH1A3",0.563485558224954,0.24904744318486
"ALDH1A3-AS1",0.305125109143362,0.505721106725483
"ALDH1B1",0.0834361279308934,0.915584067783573
"ALDH1L1",0.683240121719108,0.39931063594193
"ALDH1L1-AS1",0.924893066565855,0.200092974430214
"ALDH1L2",2.33517682633051,1.33637473556366e-06
"ALDH2",1.91148497392744,1.45451724917475e-15
"ALDH3A2",-0.851393122427378,0.000563106645437137
"ALDH3B1",-1.45126436532492,5.44601509096084e-08
"ALDH4A1",0.215230405761093,0.402250508708365
"ALDH5A1",-3.38414142407393,1.54705303365731e-34
"ALDH6A1",-0.82316289089887,0.000168820805107752
"ALDH7A1",-1.85463616389821,3.223426200076e-07
"ALDH8A1",0.37340641860805,0.498680095086724
"ALDH9A1",-1.36531909479845,3.43832078255422e-07
"ALDOA",-0.581395176225621,0.0239970454984793
"ALDOB",0.942942946710708,0.256269175045504
"ALDOC",0.658452061023919,0.0107713084076256
"ALG1",-2.16006948167998,4.80875611925632e-14
"ALG10",0.658501495844719,0.115718325198272
"ALG10B",0.0980506467468114,0.770504577860852
"ALG11",-0.11428191250992,0.536009456156887
"ALG12",-0.320727130989527,0.19646438527642
"ALG13",-0.0987407127465496,0.763309918643896
"ALG14",0.89008362498925,0.179016454737147
"ALG1L9P",-0.794765354008937,0.111182163908415
"ALG2",1.6846135403807,2.8698452130748e-27
"ALG3",-1.74821291223373,5.4137375195995e-14
"ALG5",-0.45962752121383,0.0595153628470124
"ALG6",-0.962739302649657,5.04979330647528e-05
"ALG8",-1.97970705201316,2.06518253906248e-12
"ALG9",0.0799166596329136,0.766445100237754
"ALKBH1",0.433736477499559,0.0189676662121349
"ALKBH2",-1.0684233142581,6.80185994976489e-05
"ALKBH3",-1.06803772110613,0.000175300212492927
"ALKBH3-AS1",-1.33061067370177,0.0265589513065025
"ALKBH4",-0.698413186830912,0.00240763096222057
"ALKBH5",-0.708874008676933,0.000640817756124403
"ALKBH6",-0.533996300487708,0.087490420716515
"ALKBH7",-0.551015012244026,0.0256790536668506
"ALKBH8",-0.834219292794626,0.000274237480093442
"ALMS1",-2.5560976642722,2.46316240022315e-15
"ALMS1-IT1",-0.475516650246693,0.349681156800734
"ALMS1P1",-1.79640133949443,0.000162805535308189
"ALOX12",0.545662921477937,0.167876400166462
"ALOX12P2",1.56124904625325,0.0516040778909663
"ALOX15",-2.5702268975913,1.03739694728437e-07
"ALOX15B",5.27209005761985,6.21673821472069e-26
"ALOX5",-2.43469106801596,1.70835493410557e-10
"ALOX5AP",-0.204155070073274,0.565839523448253
"ALPK1",-0.242890125589737,0.490044271159131
"ALPK2",4.18775110623175,2.63060338397423e-10
"ALPK3",3.6831409148212,3.440294686376e-08
"ALS2",0.333732546218922,0.0794970103642988
"ALS2CL",3.36555529420567,2.48066699614019e-13
"ALYREF",-0.324485418589411,0.0932025030245122
"AMACR",0.561625731536439,0.00576215248827659
"AMBRA1",0.987025349787674,5.02598551851446e-06
